"asset_id","company_name","number_of_employees","head_of_company","founded_year","website","gics_sector","gics_industry","symbol","asset_class","thumbnail_style","exchange_code","exchange_name","business_description"
11006682,Nucor Corp.,32000,Leon J. Topalian,1905,http://nucor.com,Materials,Metals & Mining,NUE,Stock,PORTRAIT,NYSE,New York Stock Exchange,"Nucor Corp. engages in the manufacture of steel products, and ferrous and non-ferrous materials. It operates through the following segments: Steel Mills, Steel Products, and Raw Materials. The Steel Mills segment consists of producing sheet, plate, structural, and bar steel. The Steel Products segment includes steel joists and joist girders, deck, fabricated concrete reinforcing, cold finished, fasteners, metal building systems, grating, tubular, piling products businesses, and wire mesh. The Raw Materials segment consists of direct reduced iron, and ferrous and nonferrous metals. The company was founded by Ransom E. Olds in 1905 and is headquartered in Charlotte, NC."
11006150,IHS Holding Ltd.,2988,Sam Darwish,2001,http://www.ihstowers.com,Communication Services,Diversified Telecommunication Services,IHS,Stock,PORTRAIT,NYSE,New York Stock Exchange,"IHS Holding Ltd. provides mobile telecommunications infrastructure services. It operates through the following geographical segments: Nigeria, Sub-Saharan Africa (SSA), Middle East and North Africa (MENA), Latin America(Latam), and Other. The SSA segment operates in Cameroon, Côte d'Ivoire, Rwanda and Zambia. The Latam segment consists of Brazil, Colombia and Peru. The MENA segment focuses in Kuwait and Egypt operations. The company was founded by Issam Darwish, William S. Saad, and Mohamad Darwish in 2001 and is headquartered in London, the United Kingdom."
11006993,Redwire Corp.,700,Peter Cannito,2020,http://redwirespace.com,Industrials,Aerospace & Defense,RDW,Stock,PORTRAIT,NYSE,New York Stock Exchange,"Redwire Corp. manufactures and supplies space equipment. It offers critical space solutions and reliability components for the next generation space economy with IP for solar power generation and in-space 3D printing and manufacturing. It assists its customers in solving challenges of future space missions. The company was founded in 2020 and is headquartered in Jacksonville, FL."
11005400,Concord Acquisition Corp. II,2,Jeffrey M. Tuder,2021,"",Financials,Capital Markets,CNDA-UN,Stock,PORTRAIT,NYSE,New York Stock Exchange,"Concord Acquisition Corp. II is a blank check company. It was formed for the purpose of effecting a merger, share exchange, asset acquisition, share purchase, reorganization or similar business combination with one or more businesses. It intends to identity, acquire and manage a business in the financial services and financial technology sectors, including payments, enterprise software, and data analytics, that can benefit from its differentiated deal flow and global network. The company was founded on February 18, 2021 and is headquartered in New York, NY."
11005399,Concord Acquisition Corp. II,2,Jeffrey M. Tuder,2021,"",Financials,Capital Markets,CNDA,Stock,PORTRAIT,NYSE,New York Stock Exchange,"Concord Acquisition Corp. II is a blank check company. It was formed for the purpose of effecting a merger, share exchange, asset acquisition, share purchase, reorganization or similar business combination with one or more businesses. It intends to identity, acquire and manage a business in the financial services and financial technology sectors, including payments, enterprise software, and data analytics, that can benefit from its differentiated deal flow and global network. The company was founded on February 18, 2021 and is headquartered in New York, NY."
11007222,"Spire Global, Inc.",416,Peter Platzer,2012,http://www.spire.com,Industrials,Commercial Services & Supplies,SPIR,Stock,PORTRAIT,NYSE,New York Stock Exchange,"Spire Global, Inc. collects space-based data using a proprietary constellation of low earth multi-use receiver nanosatellites. Its software analytics generate proprietary data, insights and predictive analytics for its customers through a subscription model. The company was founded by Peter Platzer in August 2012 and is headquartered in Vienna, VA."
11005627,GrafTech International Ltd.,1249,Timothy K. Flanagan,1886,http://www.graftech.com,Industrials,Electrical Equipment,EAF,Stock,PORTRAIT,NYSE,New York Stock Exchange,"GrafTech International Ltd. engages in the manufacture of graphite electrode products essential to the production of electric arc furnace steel and other ferrous and non-ferrous metals. The firm also produces a needle coke product which is a raw material in producing graphite electrodes. Its customers include steel producers and other ferrous and non-ferrous metal producers in Europe, the Middle East and Africa, the Americas and Asia-Pacific, which sell its products into the automotive, construction, appliance, machinery, equipment, and transportation industries. The company was founded in 1886 and is headquartered in Brooklyn Heights, OH."
11003902,Sigma Lithium Corp.,,Ana Cristina Cabral Gardner,2011,http://www.sigmalithiumresources.com,Materials,Metals & Mining,SGML,Stock,PORTRAIT,NASDAQ,NASDAQ,"Sigma Lithium Corp. engages in the production a lithium property. It focuses its project in Minas Gerais. The firm also plans to build a world-class commercial-scale lithium concentration plant. The company was founded on June 8, 2011 and is headquartered in Sao Paulo, Brazil."
11006982,Ready Capital Corp.,,Tom Capasse,2011,http://www.readycapital.com,Financials,Mortgage Real Estate Investment Trusts (REITs),RC,Stock,PORTRAIT,NYSE,New York Stock Exchange,"Ready Capital Corp. is a real estate finance company, which engages in acquiring, managing, and financing small balance commercial loans. It operates through the following segments: SBC Lending and Acquisitions, Small Business Lending, and Residential Mortgage Banking. The SBC Lending and Acquisitions segment is involved in the SBC loans across the full life-cycle of an SBC property including construction, bridge, stabilized, and agency loan origination channels through wholly-owned subsidiary, ReadyCap Commercial, LLC. The Small Business Lending segment acquires, originates, and services owner-occupied loans guaranteed by the SBA under its SBA Section 7(a) Program through wholly-owned subsidiary, ReadyCap Lending, LLC. The Residential Mortgage Banking segment focuses on the residential mortgage loan origination segment through wholly-owned subsidiary, GMFS, LLC. The company was founded in November 2011 and is headquartered in New York, NY."
11003639,"Rapt Therapeutics, Inc.",131,Brian Russell Wong,2015,http://rapt.com,Health Care,Biotechnology,RAPT,Stock,PORTRAIT,NASDAQ,NASDAQ,"Rapt Therapeutics, Inc. operates as a clinical stage immunology-based biopharmaceutical company, which engages in the discovery, development, and commercialization of oral small molecule therapies for patients in oncology and inflammatory diseases. The company was founded in 2015 and is headquartered in South San Francisco, CA."
11000226,Alvotech,1026,Vilhelm Róbert Wessman,2021,http://www.alvotech.com,Health Care,Biotechnology,ALVO,Stock,PORTRAIT,NASDAQ,NASDAQ,"Alvotech is a biotechnology company, which engages in the development and manufacture of biosimilar medicines. The firm is focusing on the development of its product candidates. It operates through the following geographical segments: Europe, North America, Asia, and Other. The company was founded by Róbert Vilhelm Wessman on August 23, 2021 and is headquartered in Luxembourg."
11007527,Veralto Corp.,16000,Jennifer L. Honeycutt,,http://www.veralto.com,Industrials,Commercial Services & Supplies,VLTO,Stock,PORTRAIT,NYSE,New York Stock Exchange,"Veralto Corp. engages in the provision of environmental and applied solutions. Its segments include Water Quality and Product Quality & Innovation. The Water Quality segment provides comprehensive portfolios of water analytics and differentiated water treatment solutions that enable the reliable delivery of safe drinking water by public and private utilities. The Product Quality & Innovation segment provides a broad set of solutions for brand owners and consumer packaged goods companies that enable speed to market as well as traceability and quality control of their products. The company was founded on October 26, 2022 and is headquartered in Waltham, MA."
11003196,"Omnicell, Inc.",3650,Randall A. Lipps,1992,http://www.omnicell.com,Health Care,Health Care Technology,OMCL,Stock,PORTRAIT,NASDAQ,NASDAQ,"Omnicell, Inc. engages in the provision of medication management automation solutions and adherence tools for healthcare systems and pharmacies. Its solutions include intelligence, platform and interoperability, central pharmacy dispensing, medication adherence, population health and point of care automation. The company was founded by Randall A. Lipps in September 1992 and is headquartered in Fort Worth, TX."
11001212,DallasNews Corp.,601,Grant S. Moise,1842,http://www.ahbelo.com,Communication Services,Media,DALN,Stock,PORTRAIT,NASDAQ,NASDAQ,"DallasNews Corp. is a news and information publishing company, which owns and operates commercial printing, distribution, and direct mail service businesses. It operates through the following segments: Publishing and Marketing. The Publishing segment includes the operations of The Dallas Morning News and various niche publications targeting specific audiences. The Marketing segment focuses on the marketing services generated by DMV Holdings and its subsidiaries, Distribion, Vertical Nerve, and MarketingFX. The company was founded on April 11, 1842 and is headquartered in Dallas, TX."
11006491,"Movado Group, Inc.",1548,Efraim Grinberg,1967,http://www.movadogroup.com,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",MOV,Stock,PORTRAIT,NYSE,New York Stock Exchange,"Movado Group, Inc. engages in the design, manufacture, and distribution of watches. It operates through the Watch and Accessory Brands, and Company Stores segments. The Watch and Accessory Brands segment includes the distribution of watches and, to a lesser extent, jewelry and other accessories, of owned and licensed brands, in addition to revenue generated from after-sales service activities and shipping. The Company Stores segment is composed of the company's physical retail outlet locations. The company was founded by Gedalio Grinberg in 1967 and is headquartered in Paramus, NJ."
11006072,Haleon Plc,,Brian James McNamara,2021,http://www.haleon.com,Health Care,Biotechnology,HLN,DepositoryReceipt,PORTRAIT,NYSE,New York Stock Exchange,"Haleon Plc engages in the provision of personal healthcare products. The firm focuses on consumer healthcare. It operates under the following geographical segments: North America, EMEA and LatAm, and Asia Pacific. The company was founded on July 18, 2022 and is headquartered in Weybridge, the United Kingdom."
11003803,"RxSight, Inc.",374,Ronald M. Kurtz,1997,http://rxsight.com/,Health Care,Health Care Equipment & Supplies,RXST,Stock,PORTRAIT,NASDAQ,NASDAQ,"RxSight, Inc. engages in the research, development, manufacture, and sale of light adjustable lenses and related capital equipment. It also commercializes adjustable intraocular lens (IOL) that is customized after cataract surgery. The company was founded on March 5, 1997 and is headquartered in Aliso Viejo, CA."
11005501,Cushman & Wakefield Plc,52000,Michelle M. MacKay,1917,http://www.cushmanwakefield.co.uk,Real Estate,Real Estate Management & Development,CWK,Stock,PORTRAIT,NYSE,New York Stock Exchange,"Cushman & Wakefield Plc engages in the provision of commercial real estate services. It operates through the following geographical segments: Americas, Europe, Middle East and Africa (EMEA), and Asia Pacific (APAC). The Americas segment consists of operations located in the United States, Canada and key markets in Latin America. The EMEA segment includes operations in the UK, France, Netherlands and other markets in Europe and the Middle East. The APAC segment comprises of operations in Australia, Singapore, China and other markets in the Asia Pacific region. The company was founded in 1917 is headquartered in London, the United Kingdom."
11003253,"One Stop Systems, Inc.",106,Michael Knowles,1998,http://www.onestopsystems.com,Information Technology,"Technology Hardware, Storage & Peripherals",OSS,Stock,PORTRAIT,NASDAQ,NASDAQ,"One Stop Systems, Inc. engages in the design, manufacture, and marketing of computing modules and systems targeting edge deployments. It deals with the design and manufacture of high-performance customized computer and flash arrays, in-flight entertainment, and connectivity and value-added reseller with minimal customization. It operates through the OSS and OSS Europe segments. The company was founded by Stephen D. Cooper and Mark Gunn in 1998 and is headquartered in Escondido, CA."
11001147,Cintas Corp.,44500,Todd M. Schneider,1968,http://www.cintas.com,Industrials,Commercial Services & Supplies,CTAS,Stock,PORTRAIT,NASDAQ,NASDAQ,"Cintas Corp. engages in the provision of corporate identity uniforms through rental and sales programs. It operates through the following segments: Uniform Rental and Facility Services, First Aid and Safety Services, and All Other. The Uniform Rental and Facility Services segment consists of the rental and servicing of uniforms and other garments including flame resistant clothing, mats, mops and shop towels, and other ancillary items. The First Aid and Safety Services segment includes first aid and safety products and services. The All Other segment contains fire protection services and its direct sale business. The company was founded by Richard T. Farmer in 1968 and is headquartered in Cincinnati, OH."
11007555,"Bristow Group, Inc.",3298,Christopher S. Bradshaw,1955,http://www.bristowgroup.com,Energy,Energy Equipment & Services,VTOL,Stock,PORTRAIT,NYSE,New York Stock Exchange,"Bristow Group, Inc. engages in the provision of aviation services to offshore energy companies and government entities. The company’s services include personnel transportation, search and rescue (SAR), medevac, fixed wing transportation, unmanned systems, and ad-hoc helicopter services. It operates through the following segments: Offshore Energy Services, Government Services, Fixed Wing Services, and Other Services. Bristow Group was founded in 1955 and is headquartered in Houston, TX."
11002122,"FSD Pharma, Inc.",,Zeeshan Saeed,1994,http://www.fsdpharma.com,Information Technology,IT Services,HUGE,Stock,PORTRAIT,NASDAQ,NASDAQ,"FSD Pharma, Inc. is a biotechnology pharmaceutical research and development company, which focuses on the cultivation, process, and sale of medical cannabis. It operates through the Biotechnology and Strategic Investments segments. The Biotechnology segment is involved in the research and development of the company's three drug candidates consisting of FSD-PEA, Lucid-PSYCH, and Lucid-MS. The Strategic Investments segment is focused on generating returns and cashflow through the issuance of loans secured by residential or commercial property. The company was founded by Thomas Fairfull, Zeeshan Saeed and Anthony J. Durkacz on October 20, 1994 and is headquartered in Toronto, Canada."
11004787,The York Water Co.,130,Joseph Thomas Hand,1816,http://www.yorkwater.com,Utilities,Water Utilities,YORW,Stock,PORTRAIT,NASDAQ,NASDAQ,"The York Water Co. engages in impounding, purifying, and distribution of drinking water. It owns and operates wastewater collection systems and wastewater treatment systems. The company was founded on February 23, 1816 and is headquartered in York, PA."
11003942,SiTime Corp.,382,Rajesh Vashist,2003,http://www.sitime.com,Information Technology,Semiconductors & Semiconductor Equipment,SITM,Stock,PORTRAIT,NASDAQ,NASDAQ,"SiTime Corp.is a micro-electromechanical system-based silicon timing solution. The company is transforming the timing industry with configurable solutions that replace legacy quartz devices and enable customers to differentiate their products with performance, smaller size, lower power, and reliability. The company was founded by Markus Lutz and Aaron Partridge on December 3, 2003 and is headquartered in Santa Clara, CA."
11001317,"Deswell Industries, Inc.",941,Kin Chung So,1987,http://www.deswell.com,Information Technology,"Electronic Equipment, Instruments & Components",DSWL,Stock,PORTRAIT,NASDAQ,NASDAQ,"Deswell Industries, Inc. engages in the manufacture and sale of injection-molded plastic parts and components, electrical products and subassemblies and metallic molds and accessories. It operates through the Plastic Injection Molding and Electronic Products Assembling segments. The Plastic Injection Molding segment includes plastic components for electric entertainment products; cases for flashlights, telephones, projectors, and alarm clocks; toner cartridges, and cases for photocopiers and printers; parts for audio equipment; medical testing equipment; and automobile components. The Electronic Products Assembling segment produces equipment used in sports stadiums, concert halls, recording studios, and radio and television stations. The company was founded in 1987 and is headquartered in Macao, China."
11003665,"Radius Recycling, Inc.",3353,Tamara Lundgren,1906,http://www.schnitzersteel.com,Materials,Metals & Mining,RDUS,Stock,PORTRAIT,NASDAQ,NASDAQ,"Radius Recycling, Inc. engages in the recycling of ferrous and nonferrous scrap metal and manufacture of finished steel products. The company was founded by Sam Schnitzer in 1906 and is headquartered in Portland, OR."
11006906,"Primerica, Inc.",3450,Glenn J. Williams,1977,http://www.primerica.com,Financials,Insurance,PRI,Stock,PORTRAIT,NYSE,New York Stock Exchange,"Primerica, Inc. engages in the provision of financial products to middle-income households. It operates through the following segments: Term Life Insurance, Investment and Savings Products, Senior Health, and Corporate and Other Distributed Products. The Term Life Insurance segment includes underwriting profits in the in-force book of term life insurance policies. The Investment and Savings Products segment is involved in managed mutual funds and annuities, and segregated funds. The Senior Health segment consists of the distribution of Medicare-related insurance products underwritten by third-party health insurance carriers to eligible Medicare participants through e-TeleQuote’s licensed health insurance agents. The Corporate and Other Distributed Products segment consists of revenues and expenses related to discontinued lines of insurance. The company was founded by Arthur L. Williams, Jr. and Angela Williams on February 10, 1977, and is headquartered in Duluth, GA."
11002012,"Healthcare Services Group, Inc.",33400,Theodore Wahl,1976,http://www.hcsgcorp.com,Industrials,Commercial Services & Supplies,HCSG,Stock,PORTRAIT,NASDAQ,NASDAQ,"Healthcare Services Group, Inc. engages in the provision of healthcare management, administrative, and services. It operates through the Housekeeping and Dietary segments. The Housekeeping segment involves the cleaning, disinfecting, and sanitizing of patient rooms and common areas of a client facility, laundering, and processing of personal clothing belonging to patients. The Dietary segment includes the food purchasing, meal preparation, development of menus, and the provision of dietician consulting professional services. The company was founded by Daniel P. McCartney on November 22, 1976 and is headquartered in Bensalem, PA."
11002379,"JanOne, Inc.",5,Antonios Isaac,1976,http://www.janone.com,Industrials,Commercial Services & Supplies,JAN,Stock,PORTRAIT,NASDAQ,NASDAQ,"JanOne, Inc. is a clinical-stage biopharmaceutical company, which engages in identifying, acquiring, licensing, developing, partnering, and commercializing novel, non-opioid, and non-addictive therapies to address the large unmet medical need for the treatment of pain and addiction. It operates under the Biotechnology and Recycling segments. The Biotechnology segment focuses on finding treatments for conditions that cause severe pain and bringing to market drugs with non-addictive pain-relieving properties. The Recycling segment is involved in a turnkey appliance recycling program. The company was founded by Edward R. Cameron in 1976 and is headquartered in Las Vegas, NV."
11000926,"Coherus BioSciences, Inc.",306,Denny M. Lanfear,2010,http://www.coherus.com,Health Care,Biotechnology,CHRS,Stock,PORTRAIT,NASDAQ,NASDAQ,"Coherus BioSciences, Inc. is a commercial-stage biopharmaceutical company, which engages in the development and commercialization of biosimilar therapeutics. Its products include UDENYCA and Coherus COMPLETE. The company was founded by Dennis M. Lanfear, Stuart E. Builder, Dr. Alan Herman, Doug Farrar and Steve Glover in September 2010 and is headquartered in Redwood City, CA."
11000155,AIB Acquisition Corp.,0,Eric Chen,2021,http://www.aibspac.com,Financials,Capital Markets,AIBB-UN,Stock,PORTRAIT,NASDAQ,NASDAQ,"AIB Acquisition Corp. operates as a blank check company. The firm was formed for the purpose of effecting a merger, amalgamation, share exchange, asset acquisition, share purchase, reorganization or similar business combination with one or more businesses. The company was founded on June 18, 2021 and is headquartered in New York, NY."
11000154,AIB Acquisition Corp.,0,Eric Chen,2021,http://www.aibspac.com,Financials,Capital Markets,AIB,Stock,PORTRAIT,NASDAQ,NASDAQ,"AIB Acquisition Corp. operates as a blank check company. The firm was formed for the purpose of effecting a merger, amalgamation, share exchange, asset acquisition, share purchase, reorganization or similar business combination with one or more businesses. The company was founded on June 18, 2021 and is headquartered in New York, NY."
11007706,"Ault Alliance, Inc.",643,William B. Horne,1969,http://ault.com,Industrials,Machinery,AULT,Stock,PORTRAIT,NYSE,New York Stock Exchange,"Ault Alliance, Inc. owns and manages a data center, and provides mission-critical products for the defense and aerospace, industrial, automotive, telecommunications, medical and biopharma, and textile industries. It operates through the following segments: GWW, TurnOnGreen, Ault Alliance, Crypto-Currency, Real Estate, Ault Disruptive, and Holding Company. The GWW segment offers defense solutions. The TurnOnGreen segment includes commercial electronics solutions. The Ault Alliance segment is involved in commercial lending, activist investing, media, and digital learning. The Crypto-Currency segment includes crypto mining operations. The Real Estate segment consists of hotel operations and other commercial real estate holdings. The Ault Disruptive segment refers to a special purpose acquisition company. The company was founded by Milton C. Ault III in 1969 and is headquartered in Las Vegas, NV."
